                                   Rank 2 fitness=0	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-26, 26]
                                   Rank 3 fitness=0	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-26, 26]
                                   Rank 4 fitness=0	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-26, 26]
2020-03-13 18:27:27.786591 - G32:  Rank 0 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 2 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 3 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 4 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 1.448, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
2020-03-13 18:27:39.581055 - G33:  Rank 0 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 2 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 3 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 1.448, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 4 fitness=0	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-26, 26]
2020-03-13 18:27:51.039832 - G34:  Rank 0 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 2 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 1.448, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 3 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 4 fitness=0	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-26, 26]
2020-03-13 18:28:02.511707 - G35:  Rank 0 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 2 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 1.448, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 3 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 4 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
2020-03-13 18:28:13.828509 - G36:  Rank 0 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 1.448, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 2 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 3 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 4 fitness=6	weights=[2.316, 0, 0, -6.818, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
2020-03-13 18:28:25.098493 - G37:  Rank 0 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 1.448, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 2 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 3 fitness=6	weights=[2.316, 0, 0, -6.818, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 4 fitness=6	weights=[2.316, 0, 0, -5.908, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
2020-03-13 18:28:37.248958 - G38:  Rank 0 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 2 fitness=6	weights=[2.316, 0, 0, -6.818, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 3 fitness=6	weights=[2.316, 0, 0, -5.908, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
