                                   Rank 4 fitness=-13	weights=[8.152, 1.46, 5.432, 3.259, 1.731, 1.802, -0.102, 2.251, -2.333, 5.987, -4.747, -0.997, -0.969, -0.169, -4.512, -8.172, -1.404, -5.304, -1.661]	 game_history=[-20, 7]
2020-03-07 01:17:52.922966 - G18:  Rank 0 fitness=43	weights=[3.117, 0.951, -0.078, -4.38, -3.834, -0.145, -3.067, -3.003, -0.095, -2.025, 0.248, -0.616, -0.934, 0.193, 7.062, 2.242, 0.762, 4.689, -1.371]	 game_history=[21, 22]
                                   Rank 1 fitness=18	weights=[0.244, 4.479, -1.837, 1.993, 8.069, -3.073, -5.361, 5.204, 3.487, 1.496, 1.843, 0.942, 1.54, -2.835, 4.572, -0.817, -2.183, -0.125, -1.354]	 game_history=[7, 11]
                                   Rank 2 fitness=4	weights=[-2.247, -0.951, 1.409, -0.077, 1.718, 1.842, 2.836, -1.613, 1.665, -5.159, 3.343, -2.438, -2.543, -0.193, -7.062, -2.315, 0.432, -6.986, -1.094]	 game_history=[5, -1]
                                   Rank 3 fitness=1	weights=[3.117, 0.951, 2.138, 4.38, -3.834, 0.145, 3.067, -3.571, 0.095, -2.199, -0.248, -0.616, -3.483, 0.003, -7.062, -0.333, 0.811, 4.689, -1.371]	 game_history=[-10, 11]
                                   Rank 4 fitness=-1	weights=[-8.152, -1.46, 5.432, 3.259, 0.061, -1.802, 1.476, -5.843, 3.487, -1.496, -6.398, 0.997, -0.969, -1.665, -4.512, -9.373, 1.941, -2.928, -1.661]	 game_history=[-2, 1]
2020-03-07 01:18:06.320059 - G19:  Rank 0 fitness=48	weights=[-8.152, -2.21, 2.645, -4.38, -3.834, 0.782, -3.067, -1.304, 0.095, -2.025, 0.248, 0.871, 0.934, -0.99, 4.512, -9.373, 1.941, 2.928, -1.313]	 game_history=[16, 32]
                                   Rank 1 fitness=14	weights=[2.441, 0.951, -5.628, -1.018, 4.621, 2.725, -4.255, -3.003, 0.095, 3.55, -0.248, -0.599, -0.934, 0.193, 7.062, 4.024, 2.264, -0.125, -3.405]	 game_history=[4, 10]
                                   Rank 2 fitness=12	weights=[4.543, 0.951, -1.432, -5.665, -3.834, 2.885, -3.067, 3.003, -0.095, -2.025, -0.939, -0.616, -0.934, -2.283, 7.062, -2.278, 0.762, 4.689, 1.371]	 game_history=[10, 2]
                                   Rank 3 fitness=10	weights=[0.244, 4.479, -1.837, 1.993, 8.069, -3.073, -5.361, 5.204, 3.487, 1.496, 1.843, 0.942, 1.54, -2.835, 4.572, -0.817, -2.183, -0.125, -1.354]	 game_history=[4, 6]
                                   Rank 4 fitness=6	weights=[3.117, -0.804, 0.42, -5.02, 3.834, -0.145, -2.195, -3.571, -0.189, 2.199, 0.248, -0.616, -1.06, 0.003, 7.062, -3.168, -1.656, 4.689, -1.371]	 game_history=[8, -2]
2020-03-07 01:18:22.491272 - G20:  Rank 0 fitness=36	weights=[4.753, 1.065, -1.432, 5.665, -4.495, -2.885, -3.067, 3.003, 2.264, -2.025, 0.939, -0.393, 0.314, -1.945, 7.062, -1.121, -0.762, -4.689, 1.371]	 game_history=[23, 13]
                                   Rank 1 fitness=19	weights=[0.244, 4.479, -1.837, -1.993, 8.069, -2.281, 8.218, 5.204, 3.487, -2.692, 1.843, 0.942, 1.47, 2.835, 4.572, -3.198, -2.291, -0.125, -2.757]	 game_history=[2, 17]
                                   Rank 2 fitness=14	weights=[3.117, 0.37, -0.627, -6.39, -3.834, -0.314, -2.195, -3.571, 0.189, 2.025, 0.248, 0.616, -1.06, 0.003, -7.062, -3.168, -1.656, -6.207, -1.605]	 game_history=[2, 12]
                                   Rank 3 fitness=13	weights=[4.543, 0.951, -1.432, -5.665, -3.834, 2.885, -3.067, 3.003, -0.095, -2.025, -0.939, -0.616, -0.934, -2.283, 7.062, -2.278, 0.762, 4.689, 1.371]	 game_history=[-11, 24]
                                   Rank 4 fitness=0	weights=[2.441, 0.951, -5.628, -1.018, 4.621, 2.725, -4.255, -3.003, 0.095, 3.55, -0.248, -0.599, -0.934, 0.193, 7.062, 4.024, 2.264, -0.125, -3.405]	 game_history=[4, -4]
2020-03-07 01:18:37.144059 - G21:  Rank 0 fitness=19	weights=[0.244, 4.479, -1.837, -1.993, 8.069, -2.281, 8.218, 5.204, 3.487, -2.692, 1.843, 0.942, 1.47, 2.835, 4.572, -3.198, -2.291, -0.125, -2.757]	 game_history=[6, 13]
                                   Rank 1 fitness=10	weights=[4.753, 1.065, -1.432, 5.665, -4.495, -2.885, -3.067, 3.003, 2.264, -2.025, 0.939, -0.393, 0.314, -1.945, 7.062, -1.121, -0.762, -4.689, 1.371]	 game_history=[-3, 13]
                                   Rank 2 fitness=2	weights=[2.441, -0.951, -3.679, 1.256, 4.621, 2.312, -3.423, 3.08, 1.436, 2.692, 2.382, 0.942, -1.47, 1.62, 4.572, -4.304, 2.694, -1.749, 5.426]	 game_history=[-2, 4]
                                   Rank 3 fitness=-7	weights=[-4.543, 0.951, -1.432, 5.665, 3.834, 2.885, -3.067, 4.624, -0.378, -1.86, -0.226, -0.616, -0.934, -2.283, -3.469, -2.754, 0.762, 4.689, 3.124]	 game_history=[-6, -1]
                                   Rank 4 fitness=-12	weights=[-3.117, 0.37, -2.329, -5.13, 3.834, -0.314, 2.195, 3.571, -0.189, 2.318, -1.608, -1.983, 0.198, -0.003, -7.062, 3.168, -2.236, -5.455, 0.532]	 game_history=[-16, 4]
2020-03-07 01:18:53.282306 - G22:  Rank 0 fitness=6	weights=[-0.892, -4.479, -1.837, 1.993, -8.069, -2.281, 8.218, 5.204, 3.104, -2.692, -3.02, -0.792, 0.646, 2.835, -4.466, -4.738, 2.291, -1.888, 4.188]	 game_history=[2, 4]
                                   Rank 1 fitness=1	weights=[2.441, -0.951, -3.679, 1.256, 4.621, 2.312, -3.423, 3.08, 1.436, 2.692, 2.382, 0.942, -1.47, 1.62, 4.572, -4.304, 2.694, -1.749, 5.426]	 game_history=[-11, 12]
