                                   Rank 1 fitness=42	weights=[1, 1, -2.361, 0.218, -0.12, -2.882, -2.209, 0, -1.645, 0, 0]	 game_history=[12, 30]
                                   Rank 2 fitness=30	weights=[1, -1, -2.361, 0.81, -0.618, -0.713, -2.766, 0, -1.645, 0, 0]	 game_history=[14, 16]
                                   Rank 3 fitness=28	weights=[1, 0.157, -2.361, 0, -0.618, -0.713, 2.766, 0, -1.009, 0, 0.705]	 game_history=[4, 24]
                                   Rank 4 fitness=28	weights=[1, -1, -2.361, 0.218, -1.458, 0.395, -3.849, 0, -3.284, 0, 0]	 game_history=[24, 4]
2020-03-14 01:27:58.073016 - G33:  Rank 0 fitness=52	weights=[1, 1, -2.361, 0.218, -0.12, -2.882, -2.209, 0, -1.645, 0, 0]	 game_history=[24, 28]
                                   Rank 1 fitness=40	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[18, 22]
                                   Rank 2 fitness=40	weights=[1, -1, -2.361, 0.218, -0.12, -2.882, -2.209, 0, -0.113, 0, 0]	 game_history=[20, 20]
                                   Rank 3 fitness=40	weights=[1, -1, -2.361, 0.218, 1.458, -0.395, -2.766, 0, -1.645, 0.256, 0]	 game_history=[24, 16]
                                   Rank 4 fitness=34	weights=[1, -1, -2.361, 0.81, -0.618, -0.713, -2.766, 0, -1.645, 0, 0]	 game_history=[16, 18]
2020-03-14 01:28:12.410111 - G34:  Rank 0 fitness=48	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, 0.544, 0, -1.645, 0.256, 0]	 game_history=[10, 38]
                                   Rank 1 fitness=38	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[8, 30]
                                   Rank 2 fitness=36	weights=[1, -1, -2.361, 0.218, -0.12, -2.882, -2.209, 0, -0.113, 0, 0]	 game_history=[6, 30]
                                   Rank 3 fitness=28	weights=[1, -1, -2.361, 0.218, 1.458, -0.395, -2.766, 0, -1.645, 0.256, 0]	 game_history=[18, 10]
                                   Rank 4 fitness=26	weights=[1, -1, -2.361, 0.81, -0.618, -0.713, -2.766, 0, -1.645, 0, 0]	 game_history=[10, 16]
2020-03-14 01:28:27.834074 - G35:  Rank 0 fitness=40	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, 0.544, 0, -1.645, 0.256, 0]	 game_history=[10, 30]
                                   Rank 1 fitness=38	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, -2.209, 0, -0.113, 0, 0]	 game_history=[20, 18]
                                   Rank 2 fitness=32	weights=[1, -1, -2.361, 0.218, 1.458, -0.395, -2.766, 0, -1.645, 0.256, 0]	 game_history=[8, 24]
                                   Rank 3 fitness=26	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[16, 10]
